x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category,set
,,,14.573,-4.329,-1.951,A,ohp,heavy,29.0
-0.098,0.773,-0.052,,,,,,,
,,,27.195,-9.939,-2.134,A,ohp,heavy,29.0
,,,31.22,-9.085,-4.573,A,ohp,heavy,29.0
-0.088,0.849,-0.038,,,,,,,
,,,29.085,-3.11,-7.5,A,ohp,heavy,29.0
,,,27.744,-9.39,-8.537,A,ohp,heavy,29.0
-0.114,0.977,-0.061,,,,,,,
,,,22.134,-14.817,-5.793,A,ohp,heavy,29.0
,,,8.72,-7.561,-12.683,A,ohp,heavy,29.0
-0.117,0.961,-0.075,,,,,,,
,,,1.89,-2.134,-16.646,A,ohp,heavy,29.0
,,,7.439,-8.171,-27.561,A,ohp,heavy,29.0
-0.128,0.815,-0.121,,,,,,,
,,,30.671,-7.988,-22.134,A,ohp,heavy,29.0
,,,45.488,-12.378,-11.098,A,ohp,heavy,29.0
-0.128,0.78,-0.169,,,,,,,
,,,37.195,-9.085,-10.427,A,ohp,heavy,29.0
,,,19.085,-6.768,-25.427,A,ohp,heavy,29.0
-0.199,0.805,-0.153,,,,,,,
,,,1.341,-5.61,-35.366,A,ohp,heavy,29.0
,,,-7.5,0.61,-33.78,A,ohp,heavy,29.0
-0.202,0.816,-0.196,,,,,,,
,,,1.341,0.0,-30.427,A,ohp,heavy,29.0
,,,14.39,-7.073,-10.549,A,ohp,heavy,29.0
-0.215,0.83,-0.228,,,,,,,
,,,12.927,-7.439,-1.341,A,ohp,heavy,29.0
,,,6.646,3.049,0.488,A,ohp,heavy,29.0
-0.262,0.845,-0.165,,,,,,,
,,,-5.427,1.768,-12.805,A,ohp,heavy,29.0
,,,-2.378,-0.671,-13.537,A,ohp,heavy,29.0
-0.291,0.91,-0.214,,,,,,,
,,,6.524,-9.085,0.427,A,ohp,heavy,29.0
,,,-10.915,-12.378,1.829,A,ohp,heavy,29.0
-0.292,0.905,-0.191,,,,,,,
,,,-22.744,-13.232,8.049,A,ohp,heavy,29.0
,,,-21.341,-14.39,16.707,A,ohp,heavy,29.0
-0.285,0.94,-0.181,,,,,,,
,,,-19.451,-15.061,17.256,A,ohp,heavy,29.0
,,,-14.512,-14.268,22.805,A,ohp,heavy,29.0
-0.264,0.967,-0.129,,,,,,,
,,,-8.11,-17.195,25.183,A,ohp,heavy,29.0
,,,-11.829,-15.793,26.22,A,ohp,heavy,29.0
-0.236,1.01,-0.07,,,,,,,
,,,-12.134,-9.878,30.793,A,ohp,heavy,29.0
,,,-12.256,-5.61,34.146,A,ohp,heavy,29.0
-0.217,1.124,-0.12,,,,,,,
,,,-17.134,-10.854,39.085,A,ohp,heavy,29.0
,,,-44.146,-11.22,24.39,A,ohp,heavy,29.0
-0.206,1.136,-0.085,,,,,,,
,,,-39.329,-4.878,27.073,A,ohp,heavy,29.0
,,,-23.598,-0.427,26.646,A,ohp,heavy,29.0
-0.147,1.12,-0.043,,,,,,,
,,,-23.963,-3.72,17.561,A,ohp,heavy,29.0
,,,-15.488,-4.146,23.232,A,ohp,heavy,29.0
-0.116,1.113,0.012,,,,,,,
,,,0.061,0.0,18.293,A,ohp,heavy,29.0
,,,9.329,-3.598,13.293,A,ohp,heavy,29.0
-0.078,1.099,-0.02,,,,,,,
,,,17.622,-1.585,9.756,A,ohp,heavy,29.0
,,,15.305,-2.195,3.902,A,ohp,heavy,29.0
-0.06,1.002,-0.029,,,,,,,
,,,-2.805,-6.585,-9.451,A,ohp,heavy,29.0
,,,-11.159,-1.28,-8.659,A,ohp,heavy,29.0
-0.05,0.895,0.007,,,,,,,
,,,3.537,-3.293,3.415,A,ohp,heavy,29.0
,,,13.963,-5.427,10.915,A,ohp,heavy,29.0
,,,0.549,2.683,10.0,B,ohp,heavy,9.0
,,,-1.159,2.317,10.732,B,ohp,heavy,9.0
,,,-6.829,-1.646,10.671,B,ohp,heavy,9.0
,,,-11.524,-6.341,8.354,B,ohp,heavy,9.0
,,,-5.549,-12.195,8.598,B,ohp,heavy,9.0
,,,2.012,-10.61,14.085,B,ohp,heavy,9.0
,,,4.268,-7.012,10.976,B,ohp,heavy,9.0
,,,-2.561,-0.122,2.195,B,ohp,heavy,9.0
-0.101,1.056,0.107,,,,,,,
,,,-8.232,7.988,-9.024,B,ohp,heavy,9.0
,,,-3.841,10.732,-16.402,B,ohp,heavy,9.0
-0.1,1.148,0.149,,,,,,,
,,,32.439,1.159,-23.354,B,ohp,heavy,9.0
,,,64.878,8.78,-40.854,B,ohp,heavy,9.0
-0.164,1.385,0.008,,,,,,,
,,,81.829,36.829,-56.768,B,ohp,heavy,9.0
,,,83.354,43.049,-64.817,B,ohp,heavy,9.0
-0.205,1.35,0.013,,,,,,,
,,,80.61,25.976,-72.683,B,ohp,heavy,9.0
,,,69.756,36.829,-49.451,B,ohp,heavy,9.0
-0.311,1.148,-0.098,,,,,,,
,,,41.829,14.39,-40.732,B,ohp,heavy,9.0
,,,34.268,56.646,-19.39,B,ohp,heavy,9.0
-0.335,0.881,-0.159,,,,,,,
,,,18.476,21.707,-8.841,B,ohp,heavy,9.0
,,,4.207,-21.402,-13.232,B,ohp,heavy,9.0
-0.308,0.761,-0.169,,,,,,,
,,,1.89,5.549,-4.634,B,ohp,heavy,9.0
,,,-6.22,9.817,-14.573,B,ohp,heavy,9.0
-0.291,0.753,-0.196,,,,,,,
,,,-6.524,2.744,-12.805,B,ohp,heavy,9.0
,,,2.012,21.22,0.61,B,ohp,heavy,9.0
-0.316,0.794,-0.276,,,,,,,
,,,-0.366,22.866,-6.098,B,ohp,heavy,9.0
,,,-4.268,21.22,-16.951,B,ohp,heavy,9.0
-0.279,0.689,-0.157,,,,,,,
,,,2.134,-10.305,-2.317,B,ohp,heavy,9.0
,,,10.305,-26.463,13.415,B,ohp,heavy,9.0
-0.336,0.703,-0.346,,,,,,,
,,,5.915,-4.573,20.366,B,ohp,heavy,9.0
,,,-2.195,-2.073,19.085,B,ohp,heavy,9.0
-0.352,0.84,-0.244,,,,,,,
,,,-19.451,19.512,6.89,B,ohp,heavy,9.0
,,,-31.463,11.829,5.244,B,ohp,heavy,9.0
-0.386,0.998,-0.241,,,,,,,
,,,-38.78,0.976,15.793,B,ohp,heavy,9.0
,,,-41.768,-15.0,19.878,B,ohp,heavy,9.0
-0.354,1.026,-0.306,,,,,,,
,,,-40.244,-22.378,27.5,B,ohp,heavy,9.0
,,,-26.89,-24.756,37.866,B,ohp,heavy,9.0
-0.279,0.879,-0.186,,,,,,,
,,,-3.293,-28.171,48.841,B,ohp,heavy,9.0
,,,-19.085,-10.061,53.354,B,ohp,heavy,9.0
-0.217,0.789,-0.114,,,,,,,
,,,-52.256,48.293,40.244,B,ohp,heavy,9.0
,,,-58.476,96.28,40.793,B,ohp,heavy,9.0
-0.2,0.838,0.022,,,,,,,
,,,-36.098,66.22,42.805,B,ohp,heavy,9.0
,,,-10.366,27.134,21.707,B,ohp,heavy,9.0
-0.173,0.706,-0.097,,,,,,,
,,,4.024,-18.049,17.866,B,ohp,heavy,9.0
,,,21.707,-71.159,25.854,B,ohp,heavy,9.0
-0.055,0.825,-0.244,,,,,,,
,,,17.866,-38.171,10.976,B,ohp,heavy,9.0
,,,0.976,0.244,-1.524,B,ohp,heavy,9.0
-0.095,0.946,0.05,,,,,,,
,,,3.72,-19.878,-1.159,B,ohp,heavy,9.0
,,,6.037,-24.695,3.293,B,ohp,heavy,9.0
-0.057,1.085,-0.076,,,,,,,
,,,-1.28,-17.683,2.805,B,ohp,heavy,9.0
,,,-9.024,-15.183,-6.037,B,ohp,heavy,9.0
-0.032,0.995,-0.139,,,,,,,
,,,2.622,-15.732,-26.585,B,ohp,heavy,9.0
,,,4.817,-16.524,-24.878,B,ohp,heavy,9.0
-0.131,0.831,-0.082,,,,,,,
,,,4.146,-13.598,-20.366,B,ohp,heavy,9.0
,,,18.476,-15.549,-21.402,B,ohp,heavy,9.0
0.005,0.844,-0.107,,,,,,,
,,,34.695,20.732,-10.244,B,ohp,heavy,9.0
,,,46.341,4.573,-10.488,B,ohp,heavy,9.0
-0.036,0.728,-0.074,,,,,,,
,,,39.634,12.622,-22.561,B,ohp,heavy,9.0
,,,38.72,10.61,-44.39,B,ohp,heavy,9.0
-0.212,0.699,-0.075,,,,,,,
,,,37.256,4.146,-35.122,B,ohp,heavy,9.0
,,,49.268,-8.171,-21.89,B,ohp,heavy,9.0
-0.206,0.875,-0.218,,,,,,,
,,,43.963,-24.512,-10.549,B,ohp,heavy,9.0
,,,36.524,-19.146,-6.28,B,ohp,heavy,9.0
-0.207,1.019,-0.318,,,,,,,
,,,23.78,-36.037,-20.183,B,ohp,heavy,9.0
,,,14.268,1.524,-13.902,B,ohp,heavy,9.0
-0.263,0.853,-0.199,,,,,,,
,,,14.329,21.524,-19.939,B,ohp,heavy,9.0
,,,14.085,-5.671,-12.5,B,ohp,heavy,9.0
-0.259,0.885,-0.324,,,,,,,
,,,11.89,-23.11,0.915,B,ohp,heavy,9.0
,,,16.89,-6.768,-5.244,B,ohp,heavy,9.0
-0.245,0.837,-0.283,,,,,,,
,,,6.037,33.598,-6.951,B,ohp,heavy,9.0
,,,-6.037,17.073,-1.585,B,ohp,heavy,9.0
-0.287,0.851,-0.257,,,,,,,
,,,-10.122,-29.817,-0.427,B,ohp,heavy,9.0
,,,-10.244,-39.329,1.524,B,ohp,heavy,9.0
-0.37,0.896,-0.356,,,,,,,
,,,-8.476,-31.037,-5.549,B,ohp,heavy,9.0
,,,-11.463,4.756,3.598,B,ohp,heavy,9.0
-0.347,0.896,-0.32,,,,,,,
,,,-3.78,-20.671,12.012,B,ohp,heavy,9.0
,,,-12.683,-7.256,22.134,B,ohp,heavy,9.0
-0.339,0.913,-0.235,,,,,,,
,,,-32.5,-21.341,16.341,B,ohp,heavy,9.0
,,,-47.866,-7.378,16.28,B,ohp,heavy,9.0
-0.384,1.003,-0.215,,,,,,,
,,,-50.366,-8.171,14.573,B,ohp,heavy,9.0
,,,-31.707,2.866,26.159,B,ohp,heavy,9.0
-0.34,1.021,-0.225,,,,,,,
,,,-28.963,-11.89,29.451,B,ohp,heavy,9.0
,,,-36.951,-7.561,26.646,B,ohp,heavy,9.0
-0.289,1.01,-0.195,,,,,,,
,,,-35.793,-8.476,19.817,B,ohp,heavy,9.0
,,,-26.768,-5.793,12.195,B,ohp,heavy,9.0
-0.263,1.042,-0.119,,,,,,,
,,,-15.61,-7.317,2.561,B,ohp,heavy,9.0
,,,2.378,11.585,-7.927,B,ohp,heavy,9.0
-0.262,1.202,-0.111,,,,,,,
,,,42.134,24.817,-7.134,B,ohp,heavy,9.0
,,,90.244,21.768,-16.951,B,ohp,heavy,9.0
-0.321,1.489,-0.255,,,,,,,
,,,110.366,34.146,-29.878,B,ohp,heavy,9.0
,,,98.11,22.683,-38.049,B,ohp,heavy,9.0
-0.333,1.396,-0.36,,,,,,,
,,,88.841,21.768,-36.951,B,ohp,heavy,9.0
,,,68.232,1.159,-33.659,B,ohp,heavy,9.0
-0.311,1.079,-0.303,,,,,,,
,,,41.463,21.037,-36.22,B,ohp,heavy,9.0
,,,24.329,3.415,-33.293,B,ohp,heavy,9.0
-0.321,0.911,-0.409,,,,,,,
,,,7.683,-6.22,-15.427,B,ohp,heavy,9.0
,,,-5.976,-8.293,-23.78,B,ohp,heavy,9.0
-0.353,0.794,-0.414,,,,,,,
,,,-15.61,-7.195,-10.793,B,ohp,heavy,9.0
,,,-23.963,-7.073,6.098,B,ohp,heavy,9.0
-0.341,0.754,-0.41,,,,,,,
,,,-26.829,-28.598,9.573,B,ohp,heavy,9.0
,,,-34.695,-26.951,9.695,B,ohp,heavy,9.0
-0.357,0.747,-0.376,,,,,,,
,,,-38.171,-27.012,22.317,B,ohp,heavy,9.0
,,,-45.793,2.012,28.049,B,ohp,heavy,9.0
-0.34,0.803,-0.372,,,,,,,
,,,-58.232,0.427,35.61,B,ohp,heavy,9.0
,,,-76.463,-5.976,41.098,B,ohp,heavy,9.0
-0.329,0.838,-0.272,,,,,,,
,,,-79.451,-22.561,50.488,B,ohp,heavy,9.0
,,,-66.768,-9.39,63.293,B,ohp,heavy,9.0
-0.261,0.738,-0.2,,,,,,,
,,,-52.256,8.598,52.5,B,ohp,heavy,9.0
,,,-18.78,25.122,39.939,B,ohp,heavy,9.0
-0.12,0.46,-0.077,,,,,,,
,,,-1.646,18.902,30.061,B,ohp,heavy,9.0
,,,10.122,-8.171,9.939,B,ohp,heavy,9.0
-0.1,0.594,-0.208,,,,,,,
,,,6.037,-2.073,-11.037,B,ohp,heavy,9.0
,,,0.183,-3.659,-16.768,B,ohp,heavy,9.0
-0.187,0.868,-0.112,,,,,,,
,,,2.378,-8.902,-5.183,B,ohp,heavy,9.0
,,,11.707,-31.28,-22.378,B,ohp,heavy,9.0
-0.189,0.967,-0.103,,,,,,,
,,,34.756,-15.732,-9.512,B,ohp,heavy,9.0
,,,63.232,-46.707,-24.085,B,ohp,heavy,9.0
-0.119,0.619,-0.079,,,,,,,
,,,83.659,-36.707,-58.902,B,ohp,heavy,9.0
,,,19.146,81.463,-31.341,B,ohp,heavy,9.0
-0.147,0.522,-0.19,,,,,,,
,,,65.793,-3.476,-38.415,B,ohp,heavy,9.0
,,,33.78,10.915,-26.585,B,ohp,heavy,9.0
-0.189,0.759,-0.286,,,,,,,
,,,27.073,0.427,-27.5,B,ohp,heavy,9.0
,,,34.268,14.634,-0.244,B,ohp,heavy,9.0
-0.275,0.845,-0.296,,,,,,,
,,,31.951,-7.195,2.683,B,ohp,heavy,9.0
,,,13.598,-21.341,-0.915,B,ohp,heavy,9.0
-0.32,0.819,-0.278,,,,,,,
,,,-4.329,-6.22,5.854,B,ohp,heavy,9.0
,,,-14.634,0.244,-1.341,B,ohp,heavy,9.0
-0.357,0.892,-0.247,,,,,,,
,,,-29.512,6.585,11.402,B,ohp,heavy,9.0
,,,-39.207,-15.0,6.829,B,ohp,heavy,9.0
-0.34,0.966,-0.339,,,,,,,
,,,-42.988,-5.976,-3.476,B,ohp,heavy,9.0
,,,-53.659,-21.22,12.5,B,ohp,heavy,9.0
-0.384,0.985,-0.305,,,,,,,
,,,-42.866,-20.549,7.073,B,ohp,heavy,9.0
,,,-38.78,3.72,13.72,B,ohp,heavy,9.0
-0.304,0.973,-0.186,,,,,,,
,,,-43.171,-19.634,29.573,B,ohp,heavy,9.0
,,,-77.683,-20.549,25.915,B,ohp,heavy,9.0
-0.335,1.056,-0.144,,,,,,,
,,,-83.963,-29.878,23.354,B,ohp,heavy,9.0
,,,-47.256,-31.524,35.244,B,ohp,heavy,9.0
-0.329,1.097,-0.094,,,,,,,
,,,-33.049,-20.671,46.585,B,ohp,heavy,9.0
,,,-25.122,-25.488,15.854,B,ohp,heavy,9.0
-0.29,1.206,-0.03,,,,,,,
,,,-12.439,-10.427,-6.829,B,ohp,heavy,9.0
,,,34.451,16.402,-6.89,B,ohp,heavy,9.0
-0.325,1.503,0.068,,,,,,,
,,,78.11,36.829,-18.415,B,ohp,heavy,9.0
,,,116.341,50.549,-35.976,B,ohp,heavy,9.0
-0.249,1.458,0.011,,,,,,,
,,,142.439,56.463,-54.085,B,ohp,heavy,9.0
,,,138.598,45.244,-36.829,B,ohp,heavy,9.0
-0.315,1.22,-0.208,,,,,,,
,,,97.378,-1.707,-30.732,B,ohp,heavy,9.0
,,,52.866,-33.293,-52.622,B,ohp,heavy,9.0
-0.351,0.972,-0.201,,,,,,,
,,,21.89,-12.927,-40.915,B,ohp,heavy,9.0
,,,12.805,-2.866,-8.659,B,ohp,heavy,9.0
-0.354,0.875,-0.413,,,,,,,
,,,10.488,-19.146,-2.622,B,ohp,heavy,9.0
,,,-10.0,-1.22,-10.915,B,ohp,heavy,9.0
-0.362,0.779,-0.418,,,,,,,
,,,-14.329,0.488,-2.5,B,ohp,heavy,9.0
,,,-22.622,3.11,-1.159,B,ohp,heavy,9.0
-0.371,0.759,-0.333,,,,,,,
,,,-22.195,-3.232,3.841,B,ohp,heavy,9.0
,,,-23.232,-0.915,16.22,B,ohp,heavy,9.0
-0.362,0.757,-0.338,,,,,,,
,,,-33.354,1.646,18.293,B,ohp,heavy,9.0
,,,-44.573,-13.78,14.024,B,ohp,heavy,9.0
-0.367,0.785,-0.327,,,,,,,
,,,-46.829,-0.366,24.146,B,ohp,heavy,9.0
,,,-50.549,-6.646,26.951,B,ohp,heavy,9.0
-0.337,0.823,-0.286,,,,,,,
,,,-51.524,-12.988,42.561,B,ohp,heavy,9.0
,,,-66.707,-11.951,43.78,B,ohp,heavy,9.0
-0.272,0.791,-0.18,,,,,,,
,,,-71.159,6.524,47.439,B,ohp,heavy,9.0
,,,-65.427,26.28,47.866,B,ohp,heavy,9.0
-0.208,0.737,-0.089,,,,,,,
,,,-40.488,21.098,36.159,B,ohp,heavy,9.0
,,,-10.427,-8.049,29.817,B,ohp,heavy,9.0
-0.164,0.645,-0.137,,,,,,,
,,,16.402,-23.537,1.768,B,ohp,heavy,9.0
,,,22.866,-18.171,-31.524,B,ohp,heavy,9.0
-0.161,0.65,-0.139,,,,,,,
,,,25.915,-0.427,-40.427,B,ohp,heavy,9.0
,,,41.646,-2.5,-46.402,B,ohp,heavy,9.0
-0.117,0.659,-0.036,,,,,,,
,,,54.085,-14.695,-59.146,B,ohp,heavy,9.0
,,,59.085,3.11,-59.756,B,ohp,heavy,9.0
-0.135,0.497,-0.041,,,,,,,
,,,62.622,32.744,-38.293,B,ohp,heavy,9.0
,,,68.537,12.439,-22.012,B,ohp,heavy,9.0
-0.229,0.696,-0.227,,,,,,,
,,,62.5,14.207,-16.037,B,ohp,heavy,9.0
,,,45.061,10.976,-6.646,B,ohp,heavy,9.0
-0.346,0.911,-0.244,,,,,,,
,,,33.659,2.256,-18.171,B,ohp,heavy,9.0
,,,14.39,3.841,1.585,B,ohp,heavy,9.0
-0.429,0.924,-0.33,,,,,,,
,,,8.659,-16.463,2.012,B,ohp,heavy,9.0
,,,-4.207,-9.817,7.012,B,ohp,heavy,9.0
-0.399,0.856,-0.4,,,,,,,
,,,-12.195,-5.732,-4.878,B,ohp,heavy,9.0
,,,-12.622,-3.476,-21.22,B,ohp,heavy,9.0
-0.395,0.734,-0.257,,,,,,,
,,,-6.585,6.28,-12.073,B,ohp,heavy,9.0
,,,0.366,-13.415,18.232,B,ohp,heavy,9.0
-0.38,0.83,-0.375,,,,,,,
,,,-9.939,-13.537,34.512,B,ohp,heavy,9.0
,,,-34.146,-13.293,28.476,B,ohp,heavy,9.0
-0.425,0.882,-0.277,,,,,,,
,,,-51.524,-27.134,29.878,B,ohp,heavy,9.0
,,,-56.28,-18.902,24.573,B,ohp,heavy,9.0
-0.483,0.995,-0.314,,,,,,,
,,,-51.341,-23.232,31.341,B,ohp,heavy,9.0
,,,-43.659,-14.634,24.573,B,ohp,heavy,9.0
-0.393,1.036,-0.228,,,,,,,
,,,-48.902,-7.378,23.171,B,ohp,heavy,9.0
,,,-57.012,-15.122,28.171,B,ohp,heavy,9.0
-0.301,1.03,-0.105,,,,,,,
,,,-33.415,-8.963,34.817,B,ohp,heavy,9.0
,,,-31.524,-18.171,34.939,B,ohp,heavy,9.0
-0.25,1.026,-0.124,,,,,,,
,,,-42.073,-22.5,16.402,B,ohp,heavy,9.0
,,,-36.341,-15.915,-10.305,B,ohp,heavy,9.0
-0.329,1.173,-0.005,,,,,,,
,,,-10.0,3.11,-22.744,B,ohp,heavy,9.0
,,,41.585,30.305,-20.122,B,ohp,heavy,9.0
-0.38,1.501,-0.063,,,,,,,
,,,91.646,53.354,-22.317,B,ohp,heavy,9.0
,,,110.671,53.293,-22.927,B,ohp,heavy,9.0
-0.34,1.376,-0.136,,,,,,,
,,,112.622,45.61,-18.841,B,ohp,heavy,9.0
,,,87.5,35.793,-13.841,B,ohp,heavy,9.0
-0.363,1.042,-0.135,,,,,,,
,,,64.085,23.78,-11.098,B,ohp,heavy,9.0
,,,43.841,7.744,-20.915,B,ohp,heavy,9.0
-0.338,0.882,-0.203,,,,,,,
,,,29.512,-5.305,-22.744,B,ohp,heavy,9.0
,,,20.549,-16.159,-3.171,B,ohp,heavy,9.0
-0.345,0.902,-0.405,,,,,,,
,,,14.512,-11.402,-0.488,B,ohp,heavy,9.0
,,,3.11,-18.902,-18.476,B,ohp,heavy,9.0
-0.316,0.822,-0.349,,,,,,,
,,,-4.756,-14.817,-12.927,B,ohp,heavy,9.0
,,,-4.634,-9.329,-7.195,B,ohp,heavy,9.0
-0.335,0.83,-0.379,,,,,,,
,,,-2.683,-7.561,2.988,B,ohp,heavy,9.0
,,,0.976,0.0,11.463,B,ohp,heavy,9.0
-0.301,0.805,-0.376,,,,,,,
,,,-10.854,-8.963,3.537,B,ohp,heavy,9.0
,,,-21.159,-11.159,17.683,B,ohp,heavy,9.0
-0.339,0.825,-0.349,,,,,,,
,,,-29.634,0.671,15.549,B,ohp,heavy,9.0
,,,-46.037,5.244,3.354,B,ohp,heavy,9.0
-0.363,0.864,-0.354,,,,,,,
,,,-53.659,-9.695,16.646,B,ohp,heavy,9.0
,,,-59.451,-13.963,43.78,B,ohp,heavy,9.0
-0.314,0.904,-0.367,,,,,,,
,,,-75.854,-8.415,54.634,B,ohp,heavy,9.0
,,,-83.902,-8.659,59.634,B,ohp,heavy,9.0
-0.236,0.822,-0.199,,,,,,,
,,,-70.244,-12.683,46.159,B,ohp,heavy,9.0
,,,-35.244,0.122,30.366,B,ohp,heavy,9.0
-0.177,0.582,-0.11,,,,,,,
,,,-9.634,24.695,17.439,B,ohp,heavy,9.0
,,,12.439,-9.146,5.915,B,ohp,heavy,9.0
-0.093,0.536,-0.203,,,,,,,
,,,7.378,-11.768,-4.573,B,ohp,heavy,9.0
,,,-14.207,8.659,-19.756,B,ohp,heavy,9.0
-0.175,0.803,-0.043,,,,,,,
,,,-28.72,3.598,-19.756,B,ohp,heavy,9.0
,,,-18.476,-38.659,10.183,B,ohp,heavy,9.0
-0.184,1.093,-0.029,,,,,,,
,,,30.366,-24.146,-4.695,B,ohp,heavy,9.0
,,,38.963,-13.415,-41.524,B,ohp,heavy,9.0
-0.194,0.761,-0.046,,,,,,,
,,,59.939,25.793,-57.012,B,ohp,heavy,9.0
,,,89.817,34.329,-50.183,B,ohp,heavy,9.0
-0.096,0.386,-0.0,,,,,,,
,,,87.561,28.72,-31.037,B,ohp,heavy,9.0
,,,62.561,18.232,-22.988,B,ohp,heavy,9.0
-0.159,0.601,-0.174,,,,,,,
,,,39.024,7.622,-31.768,B,ohp,heavy,9.0
,,,21.707,-6.585,-42.378,B,ohp,heavy,9.0
-0.338,0.901,-0.283,,,,,,,
,,,18.354,-9.329,-31.22,B,ohp,heavy,9.0
,,,17.927,-15.244,-18.598,B,ohp,heavy,9.0
-0.365,0.855,-0.314,,,,,,,
,,,26.22,-14.695,16.585,B,ohp,heavy,9.0
,,,17.622,3.537,28.841,B,ohp,heavy,9.0
-0.356,0.884,-0.367,,,,,,,
,,,1.341,23.476,14.512,B,ohp,heavy,9.0
,,,-16.28,15.244,5.854,B,ohp,heavy,9.0
-0.396,0.821,-0.25,,,,,,,
,,,-38.11,-22.012,-1.707,B,ohp,heavy,9.0
,,,-43.78,-15.732,8.11,B,ohp,heavy,9.0
-0.4,0.928,-0.28,,,,,,,
,,,-51.646,-34.268,5.427,B,ohp,heavy,9.0
,,,-50.732,-16.89,-0.244,B,ohp,heavy,9.0
-0.41,0.978,-0.252,,,,,,,
,,,-45.061,-22.561,14.695,B,ohp,heavy,9.0
,,,-49.207,-11.22,28.537,B,ohp,heavy,9.0
-0.389,1.035,-0.208,,,,,,,
,,,-49.451,-25.366,38.232,B,ohp,heavy,9.0
,,,-44.024,-17.622,33.537,B,ohp,heavy,9.0
-0.402,1.036,-0.166,,,,,,,
,,,-49.878,-14.939,26.463,B,ohp,heavy,9.0
,,,-51.89,-6.402,21.159,B,ohp,heavy,9.0
-0.352,1.012,-0.045,,,,,,,
,,,-24.39,-20.183,12.012,B,ohp,heavy,9.0
,,,-16.159,-36.22,9.024,B,ohp,heavy,9.0
-0.317,1.119,-0.047,,,,,,,
,,,-11.951,-21.22,9.024,B,ohp,heavy,9.0
,,,15.793,4.146,-3.659,B,ohp,heavy,9.0
-0.317,1.389,0.026,,,,,,,
,,,48.72,40.366,-11.28,B,ohp,heavy,9.0
,,,80.061,57.5,-29.817,B,ohp,heavy,9.0
-0.337,1.461,-0.034,,,,,,,
,,,101.585,66.22,-46.28,B,ohp,heavy,9.0
,,,86.707,48.902,-34.085,B,ohp,heavy,9.0
-0.378,1.143,-0.119,,,,,,,
,,,63.232,18.963,-24.268,B,ohp,heavy,9.0
,,,45.61,-1.951,-19.268,B,ohp,heavy,9.0
-0.383,0.989,-0.248,,,,,,,
,,,30.61,-2.988,-23.354,B,ohp,heavy,9.0
,,,30.488,-1.402,-17.622,B,ohp,heavy,9.0
-0.35,0.831,-0.197,,,,,,,
,,,42.378,26.768,23.963,B,ohp,heavy,9.0
,,,45.183,26.28,23.659,B,ohp,heavy,9.0
-0.281,0.843,-0.333,,,,,,,
,,,19.39,11.341,0.305,B,ohp,heavy,9.0
,,,6.524,6.463,-5.732,B,ohp,heavy,9.0
-0.352,0.749,-0.216,,,,,,,
,,,3.598,-26.463,-17.5,B,ohp,heavy,9.0
,,,-3.293,-19.695,-10.488,B,ohp,heavy,9.0
-0.376,0.862,-0.454,,,,,,,
,,,-0.61,-10.305,2.683,B,ohp,heavy,9.0
,,,-2.866,-20.854,-3.598,B,ohp,heavy,9.0
-0.31,0.777,-0.325,,,,,,,
,,,-15.061,-35.854,-10.427,B,ohp,heavy,9.0
,,,-16.951,-23.537,0.976,B,ohp,heavy,9.0
-0.401,0.85,-0.389,,,,,,,
,,,-16.28,-5.549,10.244,B,ohp,heavy,9.0
,,,-26.585,-5.915,11.951,B,ohp,heavy,9.0
-0.377,0.844,-0.335,,,,,,,
,,,-32.439,-12.134,19.756,B,ohp,heavy,9.0
,,,-36.524,0.305,30.366,B,ohp,heavy,9.0
-0.364,0.873,-0.329,,,,,,,
,,,-39.207,-6.951,39.695,B,ohp,heavy,9.0
,,,-46.89,-3.78,59.024,B,ohp,heavy,9.0
-0.325,0.908,-0.277,,,,,,,
,,,-55.061,-18.049,67.866,B,ohp,heavy,9.0
,,,-51.768,-28.598,74.573,B,ohp,heavy,9.0
-0.248,0.872,-0.185,,,,,,,
,,,-43.293,-14.939,52.927,B,ohp,heavy,9.0
,,,-16.341,8.293,29.817,B,ohp,heavy,9.0
-0.134,0.575,-0.099,,,,,,,
,,,2.683,9.695,18.598,B,ohp,heavy,9.0
,,,9.756,12.744,10.244,B,ohp,heavy,9.0
-0.077,0.548,-0.19,,,,,,,
,,,-10.244,23.11,-13.354,B,ohp,heavy,9.0
,,,-18.415,15.488,-25.061,B,ohp,heavy,9.0
-0.185,0.857,-0.106,,,,,,,
,,,-11.037,-0.488,1.22,B,ohp,heavy,9.0
,,,2.866,-18.049,9.268,B,ohp,heavy,9.0
-0.133,1.119,-0.119,,,,,,,
,,,-0.061,-9.024,1.402,B,ohp,heavy,9.0
,,,-3.72,-0.732,-3.841,B,ohp,heavy,9.0
-0.142,0.984,-0.068,,,,,,,
,,,-5.976,-0.427,-0.976,B,ohp,heavy,9.0
,,,-1.829,0.305,0.671,B,ohp,heavy,9.0
-0.125,0.913,-0.053,,,,,,,
,,,0.732,2.073,2.256,B,ohp,heavy,9.0
,,,2.134,3.72,1.585,B,ohp,heavy,9.0
-0.142,0.957,-0.064,,,,,,,
,,,5.671,-1.402,2.378,B,ohp,heavy,9.0
,,,7.622,-2.317,3.11,B,ohp,heavy,9.0
