x-axis (g),y-axis (g),z-axis (g),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s),participant,label,category,set
,,,-31.159,-18.902,35.0,B,bench,heavy,30.0
,,,-41.28,-22.683,37.256,B,bench,heavy,30.0
-0.153,0.984,-0.159,,,,,,,
,,,-47.683,-18.78,39.878,B,bench,heavy,30.0
,,,-39.939,-18.537,43.171,B,bench,heavy,30.0
-0.098,0.933,-0.119,,,,,,,
,,,-35.488,-5.061,38.659,B,bench,heavy,30.0
,,,-6.951,12.317,-6.28,B,bench,heavy,30.0
-0.049,0.591,0.011,,,,,,,
,,,-7.561,-1.463,-1.402,B,bench,heavy,30.0
,,,4.024,-15.488,26.829,B,bench,heavy,30.0
0.036,0.565,-0.144,,,,,,,
,,,16.524,10.488,-29.085,B,bench,heavy,30.0
,,,7.378,10.549,-22.439,B,bench,heavy,30.0
-0.058,0.82,-0.063,,,,,,,
,,,18.537,-6.768,5.793,B,bench,heavy,30.0
,,,13.963,-0.549,-8.11,B,bench,heavy,30.0
-0.011,1.167,-0.076,,,,,,,
,,,-11.951,2.805,2.256,B,bench,heavy,30.0
,,,-11.707,4.939,-5.305,B,bench,heavy,30.0
-0.054,1.107,-0.022,,,,,,,
,,,-5.488,-3.841,1.646,B,bench,heavy,30.0
,,,-5.427,-5.061,8.659,B,bench,heavy,30.0
-0.051,0.943,-0.053,,,,,,,
,,,1.89,-2.439,-5.549,B,bench,heavy,30.0
,,,4.878,-2.683,-4.39,B,bench,heavy,30.0
-0.051,0.883,-0.04,,,,,,,
,,,10.549,-6.037,-3.415,B,bench,heavy,30.0
,,,1.159,-6.098,1.646,B,bench,heavy,30.0
-0.056,0.961,-0.027,,,,,,,
,,,-4.878,-1.768,-0.549,B,bench,heavy,30.0
,,,-5.366,1.463,0.549,B,bench,heavy,30.0
-0.088,1.022,-0.009,,,,,,,
,,,-0.549,2.073,4.756,B,bench,heavy,30.0
,,,8.232,-8.902,3.963,B,bench,heavy,30.0
-0.063,0.984,-0.042,,,,,,,
,,,13.537,-7.134,3.72,B,bench,heavy,30.0
,,,4.695,0.549,0.427,B,bench,heavy,30.0
-0.044,0.947,-0.035,,,,,,,
,,,-1.585,3.171,-2.561,B,bench,heavy,30.0
,,,5.549,-1.28,-0.854,B,bench,heavy,30.0
-0.048,0.974,-0.027,,,,,,,
,,,3.354,-5.732,6.524,B,bench,heavy,30.0
,,,-0.793,-0.61,-1.159,B,bench,heavy,30.0
-0.036,0.997,-0.033,,,,,,,
,,,5.244,-5.0,2.866,B,bench,heavy,30.0
,,,0.915,-2.073,1.951,B,bench,heavy,30.0
-0.038,0.999,-0.042,,,,,,,
,,,-3.293,-1.341,-0.488,B,bench,heavy,30.0
,,,2.927,-2.866,-0.854,B,bench,heavy,30.0
-0.047,0.971,-0.041,,,,,,,
,,,2.866,-3.11,3.415,B,bench,heavy,30.0
,,,5.122,-1.402,-0.732,B,bench,heavy,30.0
-0.048,0.951,-0.044,,,,,,,
,,,3.171,1.159,0.61,B,bench,heavy,30.0
,,,-0.122,5.0,-7.805,B,bench,heavy,30.0
-0.046,0.952,-0.054,,,,,,,
,,,0.732,4.634,-9.024,B,bench,heavy,30.0
,,,5.427,-6.098,1.89,B,bench,heavy,30.0
-0.059,0.955,-0.092,,,,,,,
,,,3.841,-2.378,0.671,B,bench,heavy,30.0
,,,0.915,12.439,-5.061,B,bench,heavy,30.0
-0.057,0.932,-0.058,,,,,,,
,,,16.341,19.573,-18.659,B,bench,heavy,30.0
,,,21.159,2.439,-7.439,B,bench,heavy,30.0
-0.056,0.827,-0.096,,,,,,,
,,,27.256,11.524,-14.634,B,bench,heavy,30.0
,,,34.512,14.878,-40.122,B,bench,heavy,30.0
-0.051,0.71,-0.086,,,,,,,
,,,34.756,10.732,-30.671,B,bench,heavy,30.0
,,,41.159,10.854,-24.695,B,bench,heavy,30.0
-0.093,0.743,-0.116,,,,,,,
,,,43.476,8.78,-23.72,B,bench,heavy,30.0
,,,24.146,2.134,-11.037,B,bench,heavy,30.0
-0.124,0.846,-0.178,,,,,,,
,,,14.451,2.683,-8.841,B,bench,heavy,30.0
,,,16.341,0.915,3.232,B,bench,heavy,30.0
-0.167,0.947,-0.218,,,,,,,
,,,6.768,6.524,-13.841,B,bench,heavy,30.0
,,,-6.159,0.0,-9.878,B,bench,heavy,30.0
-0.212,0.938,-0.245,,,,,,,
,,,4.39,-7.683,5.427,B,bench,heavy,30.0
,,,3.354,-12.134,5.732,B,bench,heavy,30.0
-0.171,0.898,-0.264,,,,,,,
,,,-17.866,-9.329,8.354,B,bench,heavy,30.0
,,,-26.159,-10.305,0.061,B,bench,heavy,30.0
-0.192,0.917,-0.17,,,,,,,
,,,-15.0,6.28,21.951,B,bench,heavy,30.0
,,,-29.756,-5.732,38.11,B,bench,heavy,30.0
-0.162,0.979,-0.246,,,,,,,
,,,-44.39,6.402,22.561,B,bench,heavy,30.0
,,,-41.524,-11.951,17.5,B,bench,heavy,30.0
-0.185,1.004,-0.094,,,,,,,
,,,-24.024,-24.939,-0.244,B,bench,heavy,30.0
,,,-3.659,-7.439,-16.341,B,bench,heavy,30.0
-0.21,1.5,-0.189,,,,,,,
,,,15.915,-3.415,-11.585,B,bench,heavy,30.0
,,,36.159,8.537,-1.89,B,bench,heavy,30.0
-0.23,1.614,-0.202,,,,,,,
,,,32.317,1.951,-32.439,B,bench,heavy,30.0
,,,10.061,15.671,-42.012,B,bench,heavy,30.0
-0.211,1.12,-0.155,,,,,,,
,,,20.61,-7.561,-20.305,B,bench,heavy,30.0
,,,34.085,4.024,-9.451,B,bench,heavy,30.0
-0.147,0.812,-0.188,,,,,,,
,,,23.415,-9.878,-1.646,B,bench,heavy,30.0
,,,11.463,-0.915,-5.366,B,bench,heavy,30.0
-0.188,0.851,-0.173,,,,,,,
,,,7.988,1.402,-11.585,B,bench,heavy,30.0
,,,3.293,2.561,-11.585,B,bench,heavy,30.0
-0.224,0.891,-0.213,,,,,,,
,,,-0.976,-6.524,-1.89,B,bench,heavy,30.0
,,,11.829,-7.378,18.537,B,bench,heavy,30.0
-0.215,0.917,-0.275,,,,,,,
,,,12.561,-3.354,21.646,B,bench,heavy,30.0
,,,-2.317,0.61,5.732,B,bench,heavy,30.0
-0.213,0.929,-0.255,,,,,,,
,,,-7.927,-7.988,2.073,B,bench,heavy,30.0
,,,-5.183,-9.329,17.012,B,bench,heavy,30.0
-0.235,0.948,-0.245,,,,,,,
,,,-17.378,-4.695,-3.78,B,bench,heavy,30.0
,,,-10.488,-4.451,17.256,B,bench,heavy,30.0
-0.227,0.948,-0.239,,,,,,,
,,,-19.939,-3.902,7.012,B,bench,heavy,30.0
,,,-20.244,-13.171,24.512,B,bench,heavy,30.0
-0.211,0.971,-0.241,,,,,,,
,,,-23.171,-3.537,23.78,B,bench,heavy,30.0
,,,-24.634,-19.695,26.037,B,bench,heavy,30.0
-0.175,1.001,-0.229,,,,,,,
,,,-42.012,-12.012,22.622,B,bench,heavy,30.0
,,,-63.78,4.146,9.085,B,bench,heavy,30.0
-0.163,0.963,-0.075,,,,,,,
,,,-48.78,-5.183,24.024,B,bench,heavy,30.0
,,,-30.854,-19.085,49.878,B,bench,heavy,30.0
-0.095,0.923,-0.064,,,,,,,
,,,-43.659,-14.329,49.085,B,bench,heavy,30.0
,,,-22.683,9.512,3.841,B,bench,heavy,30.0
-0.07,0.78,0.044,,,,,,,
,,,0.122,-7.256,5.305,B,bench,heavy,30.0
,,,26.524,-17.012,8.598,B,bench,heavy,30.0
-0.015,0.555,-0.072,,,,,,,
,,,26.768,-10.305,-1.28,B,bench,heavy,30.0
,,,13.72,9.085,-27.988,B,bench,heavy,30.0
-0.006,0.681,-0.033,,,,,,,
,,,10.305,-9.207,-9.573,B,bench,heavy,30.0
,,,18.354,-3.537,-2.866,B,bench,heavy,30.0
-0.032,1.113,0.012,,,,,,,
,,,-9.024,8.049,-9.085,B,bench,heavy,30.0
,,,-9.024,8.415,-4.634,B,bench,heavy,30.0
-0.11,1.176,0.028,,,,,,,
,,,8.293,-8.171,15.488,B,bench,heavy,30.0
,,,2.317,-4.024,9.329,B,bench,heavy,30.0
-0.066,0.981,-0.068,,,,,,,
,,,-3.72,4.146,-0.427,B,bench,heavy,30.0
,,,6.159,0.732,0.244,B,bench,heavy,30.0
-0.068,0.897,-0.017,,,,,,,
,,,-1.159,0.488,4.756,B,bench,heavy,30.0
,,,8.232,-0.915,-3.171,B,bench,heavy,30.0
-0.052,0.95,-0.03,,,,,,,
,,,-0.854,-3.963,2.561,B,bench,heavy,30.0
,,,7.317,-0.244,-0.122,B,bench,heavy,30.0
-0.056,0.995,-0.009,,,,,,,
,,,1.829,-1.28,11.402,B,bench,heavy,30.0
,,,0.732,2.073,2.012,B,bench,heavy,30.0
-0.042,0.981,-0.021,,,,,,,
,,,0.671,2.012,5.61,B,bench,heavy,30.0
,,,6.037,-0.488,3.902,B,bench,heavy,30.0
-0.036,0.949,-0.043,,,,,,,
,,,2.561,-2.744,1.646,B,bench,heavy,30.0
,,,3.78,1.646,-8.78,B,bench,heavy,30.0
-0.045,0.967,-0.053,,,,,,,
,,,-1.829,-2.744,5.488,B,bench,heavy,30.0
,,,5.732,-0.854,-0.427,B,bench,heavy,30.0
-0.031,0.986,-0.046,,,,,,,
,,,-2.317,-4.878,1.037,B,bench,heavy,30.0
,,,5.488,-6.585,-2.378,B,bench,heavy,30.0
-0.039,0.969,-0.047,,,,,,,
,,,0.183,-3.293,0.061,B,bench,heavy,30.0
,,,2.744,1.707,-3.11,B,bench,heavy,30.0
-0.038,0.973,-0.045,,,,,,,
,,,0.305,1.098,-2.073,B,bench,heavy,30.0
,,,3.293,-0.915,1.646,B,bench,heavy,30.0
-0.048,0.995,-0.052,,,,,,,
,,,-7.5,-4.634,6.707,B,bench,heavy,30.0
,,,0.549,-1.159,-7.622,B,bench,heavy,30.0
-0.063,0.982,-0.041,,,,,,,
,,,4.451,-8.476,5.854,B,bench,heavy,30.0
,,,5.915,-2.622,-0.793,B,bench,heavy,30.0
-0.039,0.953,-0.055,,,,,,,
,,,-1.951,-2.256,-5.854,B,bench,heavy,30.0
,,,1.829,-2.866,-6.159,B,bench,heavy,30.0
-0.059,0.942,-0.038,,,,,,,
,,,4.695,-2.866,-1.463,B,bench,heavy,30.0
,,,3.293,-0.976,-3.049,B,bench,heavy,30.0
-0.055,0.961,-0.054,,,,,,,
,,,2.5,-3.78,0.183,B,bench,heavy,30.0
,,,0.671,-7.866,7.012,B,bench,heavy,30.0
-0.062,1.005,-0.065,,,,,,,
,,,-5.122,3.598,-1.951,B,bench,heavy,30.0
,,,-5.976,7.195,-1.463,B,bench,heavy,30.0
-0.074,0.953,-0.03,,,,,,,
,,,15.183,9.268,-13.537,B,bench,heavy,30.0
,,,27.5,5.549,-15.976,B,bench,heavy,30.0
-0.036,0.791,-0.11,,,,,,,
,,,28.293,17.134,-24.878,B,bench,heavy,30.0
,,,33.415,16.951,-41.524,B,bench,heavy,30.0
-0.064,0.664,-0.094,,,,,,,
,,,8.537,34.207,-38.11,B,bench,heavy,30.0
,,,34.207,17.073,-45.244,B,bench,heavy,30.0
-0.098,0.743,-0.078,,,,,,,
,,,31.402,10.122,-20.671,B,bench,heavy,30.0
,,,26.341,-5.976,-20.793,B,bench,heavy,30.0
-0.139,0.936,-0.232,,,,,,,
,,,35.549,-8.476,-10.854,B,bench,heavy,30.0
,,,32.195,-8.902,2.988,B,bench,heavy,30.0
-0.176,0.921,-0.211,,,,,,,
,,,29.451,-7.927,-5.0,B,bench,heavy,30.0
,,,6.22,3.354,-0.244,B,bench,heavy,30.0
-0.224,0.88,-0.198,,,,,,,
,,,3.78,-9.573,-7.378,B,bench,heavy,30.0
,,,-10.122,0.366,-9.512,B,bench,heavy,30.0
-0.249,0.892,-0.193,,,,,,,
,,,-21.037,-3.232,10.732,B,bench,heavy,30.0
,,,-39.146,-2.927,0.427,B,bench,heavy,30.0
-0.242,0.919,-0.226,,,,,,,
,,,-46.951,-0.183,2.256,B,bench,heavy,30.0
,,,-41.951,-17.683,25.854,B,bench,heavy,30.0
-0.25,0.94,-0.199,,,,,,,
,,,-47.073,-20.427,33.659,B,bench,heavy,30.0
,,,-47.195,-16.341,19.573,B,bench,heavy,30.0
-0.219,0.998,-0.117,,,,,,,
,,,-42.439,-9.329,-5.915,B,bench,heavy,30.0
,,,-18.659,-4.146,-4.634,B,bench,heavy,30.0
-0.319,1.467,-0.12,,,,,,,
,,,19.512,-8.598,12.378,B,bench,heavy,30.0
,,,41.037,-4.512,8.598,B,bench,heavy,30.0
-0.315,1.654,-0.117,,,,,,,
,,,28.476,10.488,-23.78,B,bench,heavy,30.0
,,,18.171,7.561,-38.11,B,bench,heavy,30.0
-0.275,1.129,-0.011,,,,,,,
,,,29.573,-10.122,-9.329,B,bench,heavy,30.0
,,,46.402,0.61,9.695,B,bench,heavy,30.0
-0.147,0.771,-0.104,,,,,,,
,,,38.232,-16.951,9.634,B,bench,heavy,30.0
,,,17.073,-6.159,-21.829,B,bench,heavy,30.0
-0.192,0.817,-0.074,,,,,,,
,,,9.573,-0.671,-12.073,B,bench,heavy,30.0
,,,23.72,5.915,14.695,B,bench,heavy,30.0
-0.167,0.906,-0.174,,,,,,,
,,,15.183,-11.037,-2.439,B,bench,heavy,30.0
,,,5.793,-9.085,1.098,B,bench,heavy,30.0
-0.193,0.896,-0.206,,,,,,,
,,,3.78,2.927,-8.11,B,bench,heavy,30.0
,,,0.305,-5.671,-10.793,B,bench,heavy,30.0
-0.21,0.934,-0.227,,,,,,,
,,,0.671,0.488,-13.902,B,bench,heavy,30.0
,,,8.659,-7.5,0.427,B,bench,heavy,30.0
-0.216,0.959,-0.264,,,,,,,
,,,19.878,-16.098,9.512,B,bench,heavy,30.0
,,,12.622,6.89,-3.659,B,bench,heavy,30.0
-0.234,0.943,-0.245,,,,,,,
,,,-5.671,9.207,-12.744,B,bench,heavy,30.0
,,,6.28,-5.854,12.134,B,bench,heavy,30.0
-0.289,0.912,-0.178,,,,,,,
,,,4.39,-2.683,5.061,B,bench,heavy,30.0
,,,0.915,-4.939,14.024,B,bench,heavy,30.0
-0.28,0.955,-0.275,,,,,,,
,,,-5.61,0.183,7.683,B,bench,heavy,30.0
,,,-2.988,-6.28,22.5,B,bench,heavy,30.0
-0.274,0.948,-0.234,,,,,,,
,,,-9.146,-2.866,18.415,B,bench,heavy,30.0
,,,-14.207,-10.488,16.829,B,bench,heavy,30.0
-0.256,0.968,-0.258,,,,,,,
,,,-17.927,-6.768,20.427,B,bench,heavy,30.0
,,,-20.061,-2.622,29.878,B,bench,heavy,30.0
-0.204,0.988,-0.252,,,,,,,
,,,-34.207,4.085,17.439,B,bench,heavy,30.0
,,,-36.098,-0.61,26.037,B,bench,heavy,30.0
-0.193,1.002,-0.188,,,,,,,
,,,-38.232,-9.878,41.707,B,bench,heavy,30.0
,,,-47.805,-13.598,37.683,B,bench,heavy,30.0
-0.119,1.042,-0.168,,,,,,,
,,,-59.085,-8.963,30.0,B,bench,heavy,30.0
,,,-50.915,16.524,19.939,B,bench,heavy,30.0
-0.11,0.816,0.01,,,,,,,
,,,-18.963,18.902,0.305,B,bench,heavy,30.0
,,,-12.744,-18.537,15.854,B,bench,heavy,30.0
-0.035,0.509,-0.132,,,,,,,
,,,28.963,-9.817,0.0,B,bench,heavy,30.0
,,,25.061,-15.549,13.659,B,bench,heavy,30.0
0.002,0.604,-0.09,,,,,,,
,,,22.5,-0.244,0.244,B,bench,heavy,30.0
,,,10.549,3.171,-5.061,B,bench,heavy,30.0
-0.035,1.104,0.071,,,,,,,
,,,-5.61,4.695,2.012,B,bench,heavy,30.0
,,,-5.0,6.524,-8.354,B,bench,heavy,30.0
-0.038,1.179,-0.035,,,,,,,
,,,-13.11,-1.341,10.366,B,bench,heavy,30.0
,,,3.354,0.488,-6.28,B,bench,heavy,30.0
-0.023,0.927,-0.092,,,,,,,
,,,-4.634,2.866,-2.073,B,bench,heavy,30.0
,,,10.854,-3.171,1.159,B,bench,heavy,30.0
-0.033,0.872,-0.067,,,,,,,
,,,9.146,-8.232,-0.366,B,bench,heavy,30.0
,,,0.183,-3.11,5.427,B,bench,heavy,30.0
